,product_name,to_retail_gate
43,ORANGE JUICE,Per liter orange juice
44,Sweden,1.687789075
45,APPLE JUICE,Per liter apple juice
46,Sweden,0.791822691
47,SQUASH DRINK (AVERAGE),Per liter squash drink
48,Sweden,1.27361569
49,STRAWBERRY SQUASH DRINK,Per liter strawberry squash drink
50,Sweden,1.244180357
51,RASPBERRY SQUASH DRINK,Per liter raspberry squash drink
52,Sweden,1.303051023
53,MILK CHOCOLATE,Per kg milk chocolate
54,Sweden,6.856879104
55,POTATO CRISPS,Per kg potato crisps
56,Sweden,2.89291368
57,ICE CREAM (DAIRY-BASED),Per kg ice cream
58,Sweden,4.281456556
